miRNA,KMG0071_R1
MIR433,2.67
MIR4330,1.53
MIR4418,6.48
MIR4420,2.67
MIR4421,1.53
MIR4422,5.72
MIR4423,0
MIR4424,1.14
MIR4425,3.05
MIR4426,12.21
MIR4427,0.38
MIR4428,1.91
MIR4429,5.34
MIR4430,6.1
MIR4431,1.91
MIR4432,1.14
MIR4433A,178.5
MIR4433B,258.22
MIR4434,4.2
MIR4435-1,1.91
MIR4435-2,2.29
MIR4436A,2.67
MIR4436B1,1.53
MIR4436B2,1.53
MIR4437,2.29
MIR4438,0.38
MIR4439,0.38
MIR4440,0.76
MIR4441,2.29
MIR4442,2.29
MIR4443,17.93
MIR4444-1,1.91
MIR4444-2,1.14
MIR4445,0.38
MIR4446,0.76
MIR4447,3.43
MIR4448,0
MIR4449,15.64
MIR4450,3.05
MIR4451,4.2
MIR4452,1.91
MIR4453,2.29
MIR4454,40.81
MIR4455,25.55
MIR4456,1.14
MIR4457,0.38
MIR4458,1.14
MIR4460,2.29
MIR4462,4.2
MIR4463,1.91
MIR4464,0
MIR4465,1.14
MIR4466,25.94
MIR4467,0.76
MIR4468,2.29
MIR4469,3.05
MIR4470,1.14
MIR4471,1.53
MIR4472-1,3.81
MIR4472-2,14.11
MIR4473,1.14
MIR4474,0.38
MIR4475,1.53
MIR4476,0.38
MIR4477A,0.76
MIR4477B,0.76
MIR4478,0.38
MIR4479,3.81
MIR448,1.91
MIR4480,13.73
MIR4481,1.91
MIR4482,1.14
MIR4483,0.38
MIR4484,6.1
MIR4485,1.91
MIR4486,2.67
MIR4487,1.14
MIR4488,17.55
MIR4489,3.43
MIR4490,0.38
MIR4491,0
MIR4492,9.15
MIR4493,1.91
MIR4494,0.76
MIR4495,1.53
MIR4496,3.43
MIR4497,4.2
MIR4498,0.76
MIR4499,2.29
MIR449A,7.25
MIR449B,1.14
MIR449C,4.96
MIR4500,1.14
MIR4501,5.34
MIR4502,3.05
MIR4503,0
MIR4504,0.38
MIR4505,3.81
MIR4506,1.53
MIR4507,1.14
MIR4508,437.86
MIR450A1,24.03
MIR450A2,26.7
MIR450B,2.67
MIR4510,0.38
MIR4511,2.29
MIR4512,27.08
MIR4513,3.43
MIR4514,4.2
MIR4515,3.43
MIR4516,12.97
MIR4517,0.38
MIR4518,2.67
MIR4519,0.38
MIR451A,2459.35
MIR451B,842.54
MIR452,24.03
MIR4520-1,0.38
MIR4520-2,0
MIR4521,2.67
MIR4522,4.2
MIR4523,10.68
MIR4524A,1.14
MIR4524B,0.76
MIR4525,0.76
MIR4526,0.76
MIR4527,1.53
MIR4528,0
MIR4529,1.91
MIR4530,3.81
MIR4531,2.67
MIR4533,3.81
MIR4534,4.58
MIR4535,1.53
MIR4536-1,0
MIR4536-2,0
MIR4537,2.29
MIR4538,1.14
MIR4539,2.67
MIR454,0.76
MIR4540,0.38
MIR455,1.91
MIR4632,3.81
MIR4633,1.91
MIR4634,46.53
MIR4635,1.91
MIR4636,0.38
MIR4637,2.29
MIR4638,0.76
MIR4639,0.38
MIR4640,2.29
MIR4641,3.43
MIR4642,2.29
MIR4643,0.76
MIR4644,1.14
MIR4645,1.91
MIR4646,1.14
MIR4647,3.81
MIR4648,6.48
MIR4649,1.14
